Gants Hill Underground Station entrance 9,51.576399,0.065716
Gants Hill Underground Station entrance 10,51.576646,0.065525
Gloucester Road Underground Station entrance 1,51.494333,-0.182585
Gloucester Road Underground Station entrance 2,51.494605,-0.182718
Holborn Underground Station entrance 1,51.517351,-0.12021
Holborn Underground Station entrance 2,51.51759,-0.119984
High Barnet Underground Station entrance 1,51.650471,-0.194416
High Barnet Underground Station entrance 2,51.650278,-0.194164
Hornchurch Underground Station entrance 1,51.554099,0.219246
Hendon Central Underground Station entrance 1,51.582985,-0.226942
Hillingdon Underground Station entrance 2,51.553719,-0.448126
Hillingdon Underground Station entrance 3,51.553916,-0.449403
Hillingdon Underground Station entrance 1,51.553651,-0.449758
Hillingdon Underground Station entrance 4,51.553718,-0.449366
Hanger Lane Underground Station entrance 1,51.530133,-0.292749
Hanger Lane Underground Station entrance 2,51.529883,-0.292311
Hanger Lane Underground Station entrance 3,51.529561,-0.29303
Hanger Lane Underground Station entrance 4,51.529433,-0.292242
Highgate Underground Station entrance 1,51.577815,-0.145528
Highgate Underground Station entrance 2,51.577667,-0.147006
Highgate Underground Station entrance 3,51.577588,-0.145985
Hatton Cross Underground Station entrance 1,51.466528,-0.422968
Hatton Cross Underground Station entrance 2,51.46695,-0.422925
Hyde Park Corner Underground Station entrance 1,51.504935,-0.152033
Hyde Park Corner Underground Station entrance 2,51.503138,-0.151558
Hyde Park Corner Underground Station entrance 3,51.503134,-0.152481
Hyde Park Corner Underground Station entrance 4,51.502833,-0.152752
Hyde Park Corner Underground Station entrance 5,51.503088,-0.151849
Hyde Park Corner Underground Station entrance 6,51.502712,-0.152483
Hyde Park Corner Underground Station entrance 7,51.503086,-0.152857
Holland Park Underground Station entrance 1,51.507358,-0.205627
Holland Park Underground Station entrance 2,51.507161,-0.205649
Heathrow Terminals 1-2-3 Underground Station entrance 4,51.472355,-0.451982
Heathrow Terminals 1-2-3 Underground Station entrance 1,51.471456,-0.454705
Heathrow Terminals 1-2-3 Underground Station entrance 2,51.471079,-0.454761
Heathrow Terminals 1-2-3 Underground Station entrance 6,51.469437,-0.451001
Heathrow Terminals 1-2-3 Underground Station entrance 3,51.471413,-0.452187
Hammersmith (H&C Line) Underground Station entrance 1,51.493383,-0.225033
Hammersmith (H&C Line) Underground Station entrance 2,51.493172,-0.224177
Hammersmith (Dist&Picc Line) Underground Station entrance 1,51.492393,-0.22438
Hammersmith (Dist&Picc Line) Underground Station entrance 2,51.491797,-0.223668
High Street Kensington Underground Station entrance 1,51.501031,-0.192923
Hampstead Underground Station entrance 1,51.556595,-0.178431
Hampstead Underground Station entrance 2,51.556749,-0.178482
Hounslow Central Underground Station entrance 1,51.471202,-0.367014
Hounslow East Underground Station entrance 1,51.473308,-0.356802
Hounslow West Underground Station entrance 1,51.473052,-0.385637
Holloway Road Underground Station entrance 1,51.552904,-0.112745
Ickenham Underground Station entrance 1,51.562026,-0.441899
Kilburn Underground Station entrance 1,51.547016,-0.203909
Kingsbury Underground Station entrance 1,51.584978,-0.278699
Knightsbridge Underground Station entrance 1,51.501872,-0.160889
Knightsbridge Underground Station entrance 2,51.501816,-0.160185
Knightsbridge Underground Station entrance 3,51.501732,-0.16052
Knightsbridge Underground Station entrance 4,51.500342,-0.162506
Kennington Underground Station entrance 1,51.488343,-0.105804
Kennington Underground Station entrance 2,51.488157,-0.105408
Kilburn Park Underground Station entrance 1,51.53505,-0.19358
Kings Cross St.Pancras Underground Station entrance 2,51.530206,-0.123848
Kings Cross St.Pancras Underground Station entrance 3,51.530246,-0.123543
Kings Cross St.Pancras Underground Station entrance 1,51.530154,-0.123432
Kings Cross St.Pancras Underground Station entrance 12,51.530058,-0.123637
Kings Cross St.Pancras Underground Station entrance 5,51.530084,-0.124098
Kings Cross St.Pancras Underground Station entrance 6,51.530709,-0.124404
Kings Cross St.Pancras Underground Station entrance 7,51.530923,-0.124265
Kings Cross St.Pancras Underground Station entrance 8,51.530492,-0.123764
Kings Cross St.Pancras Underground Station entrance 9,51.530198,-0.124497
Kings Cross St.Pancras Underground Station entrance 11,51.532131,-0.126147
Kings Cross St.Pancras Underground Station entrance 4,51.532117,-0.124735
Kings Cross St.Pancras Underground Station entrance 10,51.530123,-0.12486
Ladbroke Grove Underground Station entrance 1,51.517426,-0.210074
Lambeth North Underground Station entrance 1,51.498851,-0.112212
Lancaster Gate Underground Station entrance 1,51.511685,-0.175424
London Bridge Underground Station entrance 1,51.505989,-0.088242
London Bridge Underground Station entrance 2,51.505464,-0.088537
London Bridge Underground Station entrance 3,51.505729,-0.086595
Latimer Road Underground Station entrance 1,51.513701,-0.217628
Leicester Square Underground Station entrance 1,51.511259,-0.128373
Leicester Square Underground Station entrance 2,51.511379,-0.12857
Leicester Square Underground Station entrance 3,51.51162,-0.127897
Leicester Square Underground Station entrance 4,51.511717,-0.128354
Liverpool Street Underground Station entrance 3,51.517141,-0.082759
Liverpool Street Underground Station entrance 4,51.517804,-0.081564
Leyton Underground Station entrance 1,51.556495,-0.005816
Leytonstone Underground Station entrance 1,51.56836,0.007185
Leytonstone Underground Station entrance 2,51.568053,0.008312
Marble Arch Underground Station entrance 1,51.513525,-0.16078
Marble Arch Underground Station entrance 2,51.511999,-0.157498
Marble Arch Underground Station entrance 3,51.513018,-0.158278
Marble Arch Underground Station entrance 4,51.511344,-0.158187
Marble Arch Underground Station entrance 5,51.512359,-0.158665
Marble Arch Underground Station entrance 6,51.513277,-0.158181
Marble Arch Underground Station entrance 7,51.512596,-0.158338
Marble Arch Underground Station entrance 8,51.512012,-0.160077
